fat	adj. 肥胖的 n. 脂肪
music	n. 音乐
unfortunately	adv. 不幸地
hour	n. 小时
interrupt	v. 打断
colour	n. 颜色
disk	n. 磁盘
wheat	n. 小麦
key	n. 钥匙；关键
theft	n. 偷窃
ice	n. 冰
meat	n. 肉
abstract	adj. 抽象的 n. 摘要
vote	v./n. 投票
contact	n./v. 联系
honour	n. 荣誉 v. 尊敬
volume	n. 音量；体积；卷
software	n. 软件
hi	int. 嗨
ever	adv. 曾经；究竟
BC	abbr. 公元前 (Before Christ)
any	adj. 任何的 pron. 无论哪个
winter	n. 冬天
tick	n. 钩号 v. 打钩
secure	adj. 安全的 v. 获得
goat	n. 山羊
height	n. 高度
again	adv. 再一次；又
dry	adj. 干的 v. 变干
trunk	n. 树干；象鼻；后备箱
actor/actress	n. 男演员/女演员
infer	v. 推断
happy	adj. 快乐的
heavy	adj. 重的
barbecue	n. 烧烤
switch	n. 开关 v. 转换
drill	v. 钻孔；操练 n. 钻头
mouth	n. 嘴
administration	n. 管理；行政；政府
tin	n. 锡；罐头
hardware	n. 硬件
cereal	n. 谷物；麦片
beneath	prep. 在...下方
income	n. 收入
possible	adj. 可能的
calorie	n. 卡路里
blouse	n. 女衬衫
IT/information technology	n. 信息技术
bridge	n. 桥
avoid	v. 避免；避开
onto	prep. 到...上
correspond	v. 通信；符合
economy	n. 经济
plain	adj. 简单的 n. 平原
station	n. 车站
hungry	adj. 饿的
classic	adj. 经典的 n. 名著
limit	n. 限制 v. 限制
plant	n. 植物 v. 种植
suitcase	n. 手提箱
anything	pron. 任何事
scholarship	n. 奖学金
influence	n./v. 影响
support	v./n. 支持
cargo	n. 货物
sad	adj. 悲伤的
poverty	n. 贫穷
central	adj. 中央的
integrity	n. 正直；完整
scan	v. 扫描；浏览
summer	n. 夏天
follow	v. 跟随
publish	v. 出版
transition	n. 过渡
care	v./n. 关心；照料
very	adv. 非常
start	v. 开始
organic	adj. 有机的
mad	adj. 疯狂的；生气的
import	v./n. 进口
little	adj. 小的；少的
stop	v. 停止 n. 车站
border	n. 边界；边境
recover	v. 恢复
tomato	n. 西红柿
version	n. 版本
steal	v. 偷
anyhow	adv. 无论如何；不管怎样
walk	v./n. 走路
perception	n. 感觉；洞察力
blanket	n. 毯子
population	n. 人口
fight	v./n. 打架；战斗
silk	n. 丝绸
apple	n. 苹果
delicate	adj. 精致的；脆弱的
ashamed	adj. 羞愧的；惭愧的
revolution	n. 革命
individual	adj. 个人的 n. 个人
low	adj. 低的
depress	v. 使沮丧；使萧条
volunteer	n. 志愿者 v. 自愿
earth	n. 地球；泥土
skin	n. 皮肤
interaction	n. 互动
fantasy	n. 幻想
smog	n. 烟雾
fibre	n. 纤维
good	adj. 好的
participate	v. 参与
overall	adj. 全面的
circuit	n. 电路；巡回
court	n. 法庭；球场
owe	v. 欠
lend	v. 借出
erupt	v. 爆发；喷发
atmosphere	n. 大气；气氛
person	n. 人
silent	adj. 沉默的
enormous	adj. 巨大的
massage	n. 按摩
maths/mathematics	n. 数学
mosque	n. 清真寺
old	adj. 老的；旧的
costume	n. 服装
export	v./n. 出口
Mr/Mrs/Ms	n. 先生/夫人/女士
childhood	n. 童年
crucial	adj. 关键的
either	adv. 也(不) pron. 两者之一
army	n. 军队；陆军
platform	n. 站台；平台
brilliant	adj. 杰出的；灿烂的
imagine	v. 想象
memory	n. 记忆
sandwich	n. 三明治
boil	v. 沸腾；煮
unlike	prep. 不像
jewellery	n. 珠宝
industry	n. 工业
pancake	n. 煎饼
constitution	n. 宪法；体质
seem	v. 似乎
dinner	n. 晚餐
hurt	v. 伤害；痛
season	n. 季节
fellow	n. 家伙；同事
spirit	n. 精神
transform	v. 改变；变形
urge	v. 催促；力劝
clothes	n. 衣服
grandchild/grandson/granddaughter	n. 孙子/孙女
thunder	n. 雷
ear	n. 耳朵；听力
beauty	n. 美；美人
jungle	n. 丛林
device	n. 设备；装置
advocate	v. 提倡 n. 拥护者
leather	n. 皮革
custom	n. 习俗
seed	n. 种子
obey	v. 服从
then	adv. 那么；然后
why	adv. 为什么
ton	n. 吨
download	v. 下载
autonomous	adj. 自治的；自主的
parcel	n. 包裹
bother	v. 打扰；烦扰
collar	n. 衣领
badly	adv. 严重地；非常
seize	v. 抓住
announce	v. 宣布；宣告
dynasty	n. 朝代
knock	v. 敲
shave	v. 刮胡子
always	adv. 总是；一直
cheque	n. 支票
terrible	adj. 可怕的；糟糕的
absent	adj. 缺席的；不在的
cap	n. 帽子；盖子
caution	n. 小心；警告
fundamental	adj. 基本的
curious	adj. 好奇的
accent	n. 口音；重音
translate	v. 翻译
sweat	n. 汗水
alternative	n. 供替代的选择 adj. 另类的
angry	adj. 生气的；愤怒的
young	adj. 年轻的
journey	n. 旅程
pure	adj. 纯的
excellent	adj. 优秀的
clean	adj. 干净的 v. 打扫
that	pron./adj. 那个
monkey	n. 猴子
ring	n. 戒指；环 v. 按铃
danger	n. 危险
begin	v. 开始
consistent	adj. 一致的
dance	v. 跳舞 n. 舞蹈
tower	n. 塔
retire	v. 退休
locate	v. 定位
interview	n./v. 面试；采访
headline	n. 标题
plastic	n. 塑料
exercise	n./v. 练习；运动
temperature	n. 温度
sign	n. 符号；迹象 v. 签字
itself	pron. 它自己
manner	n. 方式；礼貌
reduce	v. 减少
avenue	n. 大街；林荫道
door	n. 门
take	v. 拿；花费；乘坐
communicate	v. 交流
please	v. 取悦 int. 请
celebrity	n. 名人
point	n. 点；观点 v. 指向
hotel	n. 旅馆
business	n. 商业；生意
complex	adj. 复杂的
slide	v. 滑动 n. 幻灯片
apart	adv. 分开；相隔
issue	n. 问题 v. 发行
important	adj. 重要的
cent	n. 分 (货币单位)
breathe	v. 呼吸
glove	n. 手套
against	prep. 反对；倚靠；逆着
coupon	n. 优惠券
fire	n. 火 v. 开火；解雇
supply	v./n. 供给
bacon	n. 咸肉；熏肉
pear	n. 梨
grape	n. 葡萄
past	n. 过去
map	n. 地图
advertisement/ad	n. 广告
baby	n. 婴儿
research	n./v. 研究
instant	adj. 立即的
fact	n. 事实
anybody/anyone	pron. 任何人
civil	adj. 公民的；国内的
occupation	n. 职业；占领
accept	v. 接受；同意
patient	n. 病人 adj. 耐心的
construct	v. 建造
cigarette	n. 香烟
violent	adj. 暴力的
tomorrow	n. 明天
energy	n. 能量；精力
connect	v. 连接
great	adj. 伟大的；极好的
picture	n. 图片
geography	n. 地理
hope	v./n. 希望
thought	n. 思想；想法
both	pron. 两者(都)
diet	n. 饮食；节食
organise	v. 组织
ideal	adj. 理想的
report	n./v. 报告
judge	n. 法官 v. 判断
agent	n. 代理人；特工
summary	n. 总结
inch	n. 英寸
life	n. 生活；生命
release	v. 释放；发布
lamp	n. 灯
shout	v./n. 喊叫
jog	v. 慢跑
milk	n. 牛奶
bless	v. 保佑；祝福
bowl	n. 碗
pub	n. 酒吧
boost	v. 促进；增加
context	n. 上下文；背景
potential	adj. 潜在的 n. 潜力
however	adv. 然而
attention	n. 注意；关注
hospital	n. 医院
evidence	n. 证据
odd	adj. 奇怪的；奇数的
spoil	v. 溺爱；破坏
quiet	adj. 安静的
online	adj./adv. 在线的
dignity	n. 尊严
advice	n. 建议；忠告
other	adj. 其他的
paint	v. 绘画
album	n. 专辑；相册
qualify	v. 取得资格
litter	n. 垃圾 v. 乱扔
ahead	adv. 向前；提前；领先
inside	prep./adv. 在里面
information	n. 信息
which	pron. 哪一个
centimetre	n. 厘米
regulation	n. 规则
breath	n. 呼吸；气息
join	v. 加入
damage	v./n. 损害；毁坏
ward	n. 病房；监护
sore	adj. 疼痛的
overcome	v. 克服
hairdryer	n. 吹风机
empty	adj. 空的 v. 倒空
line	n. 线；排
weekend	n. 周末
arm	n. 手臂 v. 武装
guidebook	n. 导游手册
everything	pron. 每件事
nephew	n. 侄子；外甥
do/does	v. 做；干 (助动词)
boss	n. 老板
site	n. 地点；场所
joke	n. 笑话
skate	v. 滑冰
nothing	pron. 没什么
appetite	n. 食欲；胃口
folk	n. 人们 adj. 民间的
decade	n. 十年
wool	n. 羊毛
abandon	v. 放弃；抛弃；中止
latter	adj. 后者的
permanent	adj. 永久的
complete	v. 完成 adj. 完整的
seek	v. 寻找；寻求
east	n. 东方 adj. 东方的
animal	n. 动物
flour	n. 面粉
succeed	v. 成功
lawyer	n. 律师
genius	n. 天才
respect	v./n. 尊敬
inspire	v. 鼓舞
change	v. 改变 n. 零钱；变化
slow	adj. 慢的
digest	v. 消化 n. 摘要
book	n. 书 v. 预订
contract	n. 合同 v. 收缩
require	v. 需要
cause	n. 原因 v. 引起
canal	n. 运河
hole	n. 洞
midnight	n. 午夜
niece	n. 侄女；外甥女
tutor	n. 导师；家庭教师
mess	n. 混乱
dear	adj. 亲爱的；昂贵的
headmaster	n. 校长
square	n. 广场；正方形
ATM/Automatic Teller Machine	n. 自动取款机
clinic	n. 诊所
poet	n. 诗人
laser	n. 激光
price	n. 价格
cabbage	n. 卷心菜
crash	v./n. 碰撞；崩溃
dust	n. 灰尘
mosquito	n. 蚊子
crop	n. 作物
thick	adj. 厚的
basket	n. 篮子
opposite	adj. 相反的
diamond	n. 钻石
rubbish	n. 垃圾
root	n. 根
lead	v. 领导；导致 n. 铅
at	prep. 在；向；对
lobby	n. 大厅；游说团体
convince	v. 说服
certain	adj. 确定的；某一个
O	int. 噢
pet	n. 宠物
attract	v. 吸引
discuss	v. 讨论
distance	n. 距离
unforgettable	adj. 难忘的
homework	n. 家庭作业
cross	v. 穿过 n. 十字架
basin	n. 盆；盆地
star	n. 星星；明星
calm	adj. 平静的 v. 使镇定
round	adj. 圆的 adv. 周围
chicken	n. 鸡肉；鸡
everyday	adj. 每天的；日常的
plus	prep. 加上
motto	n. 座右铭
sour	adj. 酸的
eager	adj. 渴望的
politics	n. 政治
deny	v. 否认；拒绝
true	adj. 真实的
spoon	n. 勺子
laptop	n. 笔记本电脑
appreciate	v. 欣赏；感激；领会
immigrant	n. 移民
coin	n. 硬币
move	v. 移动；搬家
sauce	n. 酱汁
network	n. 网络
broadcast	v./n. 广播；播送
doctor	n. 医生；博士
born	adj. 出生的；天生的
article	n. 文章；物品；条款
cabin	n. 小屋；机舱
will	v. 将要 n. 意志；遗嘱
remarkable	adj. 非凡的
drawer	n. 抽屉
library	n. 图书馆
dimension	n. 维度；尺寸
sort	n. 种类 v. 分类
sensitive	adj. 敏感的
bill	n. 账单；法案；钞票
history	n. 历史
cotton	n. 棉花
mass	n. 大量；群众
swallow	v. 吞下 n. 燕子
revise	v. 修订；复习
criticize	v. 批评
motivate	v. 激励
make-up	n. 化妆；构成
cottage	n. 小屋
third	num. 第三
open	v. 打开 adj. 开着的
territory	n. 领土
unless	conj. 除非
flat	adj. 平坦的 n. 公寓
bite	v./n. 咬；叮
give	v. 给
cousin	n. 堂(表)兄弟姐妹
retell	v. 复述
group	n. 组；群
idiom	n. 成语
character	n. 性格；角色；汉字
temporary	adj. 暂时的
log	n. 原木；日志
net	n. 网
horse	n. 马
single	adj. 单一的；单身的
error	n. 错误
superior	adj. 上级的；优越的
plug	n. 插头
chalk	n. 粉笔
housework	n. 家务
theatre	n. 剧院
interest	n. 兴趣；利息
incident	n. 事件
kangaroo	n. 袋鼠
cycle	n. 循环；骑自行车
draft	n. 草稿 v. 起草
clue	n. 线索
chip	n. 薯片；芯片
entrance	n. 入口
phone/telephone	n. 电话
place	n. 地方 v. 放置
neat	adj. 整洁的
regret	v./n. 后悔
joy	n. 欢乐
image	n. 图像；形象
sing	v. 唱歌
pepper	n. 胡椒
thorough	adj. 彻底的
contest	n. 比赛
grass	n. 草
worthwhile	adj. 值得做的
prison	n. 监狱
chaos	n. 混乱
native	adj. 本土的
mineral	n. 矿物
degree	n. 学位；度数；程度
none	pron. 没有一个
highway	n. 公路
cuisine	n. 烹饪；美食
below	prep. 在...下面 adv. 在下面
mango	n. 芒果
cheese	n. 奶酪
wife	n. 妻子
pal	n. 伙伴
voyage	n. 航行
prior	adj. 优先的
gramme	n. 克
seat	n. 座位
doubt	n./v. 怀疑
generation	n. 一代人
entertainment	n. 娱乐
broad	adj. 宽阔的
admit	v. 承认；准许进入
butcher	n. 屠夫；肉店
film	n. 电影；胶卷
orbit	n. 轨道
catch	v. 抓住；赶上；感染
job	n. 工作
proceed	v. 继续进行
pond	n. 池塘
wet	adj. 湿的
town	n. 城镇
umbrella	n. 雨伞
balance	n. 平衡；余额 v. 权衡
blame	v. 责备；归咎于
capture	v. 捕获；占领
go	v. 去
reply	v./n. 回复
shallow	adj. 浅的
outcome	n. 结果
cookie	n. 饼干
AD	abbr. 公元 (Anno Domini)
most	adj./adv. 最多的
driveway	n. 私家车道
convenient	adj. 方便的
friend	n. 朋友
nurse	n. 护士
nut	n. 坚果
early	adj./adv. 早
brush	n. 刷子 v. 刷
achieve	v. 实现；达到；完成
polite	adj. 有礼貌的
dig	v. 挖掘
week	n. 星期
culture	n. 文化
battle	n. 战斗；战役
grab	v. 抓住
hide	v. 躲藏
science	n. 科学
sentence	n. 句子 v. 判决
street	n. 街道
lie	v. 躺；撒谎 n. 谎言
educate	v. 教育
boxing	n. 拳击
souvenir	n. 纪念品
forth	adv. 向前
theory	n. 理论
ancient	adj. 古代的；古老的
role	n. 角色
environment	n. 环境
hobby	n. 爱好
arrange	v. 安排；整理
earn	v. 赚得；获得
shall	v. 将要 (助动词)
dictionary	n. 词典
intend	v. 打算
know	v. 知道
computer	n. 电脑
wound	n. 伤口 v. 受伤
association	n. 协会；社团；联系
washroom	n. 洗手间
pay	v. 支付
sustain	v. 维持；支撑
complicated	adj. 复杂的
mean	v. 意味着 adj. 吝啬的
team	n. 团队
underground	adj. 地下的 n. 地铁
sock	n. 袜子
counter	n. 柜台
various	adj. 各种各样的
committee	n. 委员会
maybe	adv. 也许
right	adj. 正确的；右边的 n. 权利
collapse	v./n. 倒塌；崩溃
ultimately	adv. 最终
not	adv. 不
resort	n. 度假胜地 v. 求助
drive	v. 开车；驱赶 n. 车道
hurricane	n. 飓风
smile	v./n. 微笑
generate	v. 产生；发生
television/TV	n. 电视
demonstrate	v. 证明；示范；示威
fix	v. 修理；固定
arch	n. 拱门；拱形
yeah	int. 是的 (口语)
butter	n. 黄油
astronomer	n. 天文学家
author	n. 作者；作家
output	n. 产出
instruction	n. 指示；说明
afternoon	n. 下午
order	n. 顺序；命令 v. 点餐
hundred	num. 百
cough	v./n. 咳嗽
AI/artificial intelligence	n. 人工智能
red	adj. 红色的
absorb	v. 吸收；吸引(注意)
element	n. 元素；要素
swim	v. 游泳
infect	v. 感染
international	adj. 国际的
thousand	num. 千
aisle	n. (座席间的)过道
idea	n. 主意
exist	v. 存在
psychology	n. 心理学
expect	v. 期待；预计
panda	n. 熊猫
prefer	v. 更喜欢
prospect	n. 前景
thus	adv. 因此
millimetre	n. 毫米
park	n. 公园 v. 停车
leak	v. 泄漏
cartoon	n. 卡通；漫画
a.m.	abbr. 上午
entire	adj. 整个的
cool	adj. 凉爽的；酷的
prevent	v. 防止
pin	n. 大头针
exam/examination	n. 考试
engage	v. 参与；订婚；吸引
link	v. 连接 n. 环节
pale	adj. 苍白的
suspend	v. 暂停；悬挂
lion	n. 狮子
impact	n./v. 影响
dog	n. 狗
improve	v. 改善
item	n. 项目；条款
white	adj. 白色的
policy	n. 政策
corn	n. 玉米
journal	n. 杂志；日记
dairy	n. 乳制品；奶牛场
lantern	n. 灯笼
botanical	adj. 植物学的
evening	n. 晚上
reason	n. 理由
patent	n. 专利
many	adj. 许多的
fool	n. 傻瓜 v. 愚弄
circumstance	n. 环境；情况
attack	v./n. 攻击；进攻
material	n. 材料
cancel	v. 取消
refuse	v. 拒绝
luggage	n. 行李
memorial	n. 纪念碑 adj. 纪念的
T-shirt	n. T恤
desk	n. 书桌
departure	n. 离开；出发
romantic	adj. 浪漫的
this	pron. 这个
wind	n. 风 v. 缠绕
code	n. 代码；密码
racket	n. 球拍；喧闹
optimistic	adj. 乐观的
excuse	n. 借口 v. 原谅
swing	v. 摇摆 n. 秋千
castle	n. 城堡
department	n. 部门；系
to	prep. 向；到
zoo	n. 动物园
front	n. 前面
burn	v. 燃烧；烧伤
accumulate	v. 积累；积聚
raw	adj. 生的
household	n. 家庭
salesman/saleswoman/salesperson	n. 售货员
poor	adj. 贫穷的；可怜的
steady	adj. 稳定的
academic	adj. 学术的；学院的
struggle	v./n. 奋斗；挣扎
thin	adj. 瘦的；薄的
circle	n. 圆；圈
tale	n. 故事
stamp	n. 邮票
servant	n. 仆人
subjective	adj. 主观的
separate	v. 分开 adj. 单独的
tournament	n. 锦标赛
technical	adj. 技术的
nuclear	adj. 核的
explode	v. 爆炸
lazy	adj. 懒惰的
baseball	n. 棒球
much	adj./adv. 许多
flower	n. 花
average	adj. 平均的；普通的 n. 平均数
ugly	adj. 丑陋的
vehicle	n. 车辆
besides	adv. 而且 prep. 除...之外
expand	v. 扩大；膨胀
mount	v. 登上 n. 山
tax	n. 税
damp	adj. 潮湿的
conventional	adj. 传统的
fabric	n. 织物；布；结构
estate	n. 地产；庄园
memo	n. 备忘录
website	n. 网站
straight	adj./adv. 直的
adventure	n. 冒险；奇遇
relax	v. 放松
review	v./n. 复习；评论
outstanding	adj. 杰出的
with	prep. 和...在一起；用
barely	adv. 仅仅；勉强
rigid	adj. 严格的；僵硬的
partner	n. 伙伴
combine	v. 结合
rude	adj. 粗鲁的
mix	v. 混合
yourself	pron. 你自己
send	v. 发送
title	n. 标题；头衔
affair	n. 事情；事务；绯闻
tennis	n. 网球
heart	n. 心脏
permit	v. 允许 n. 许可证
rat	n. 老鼠
instance	n. 例子
favour	n. 恩惠；赞同
ceiling	n. 天花板
pencil	n. 铅笔
secret	n. 秘密 adj. 秘密的
spaceship	n. 宇宙飞船
splendid	adj. 壮丽的
firefighter	n. 消防员
incredible	adj. 难以置信的
capsule	n. 胶囊；太空舱
navy	n. 海军
trouble	n. 麻烦
fruit	n. 水果
guideline	n. 指导方针
blind	adj. 瞎的；盲目的
or	conj. 或者
visible	adj. 可见的
observe	v. 观察；遵守
tray	n. 托盘
identity	n. 身份
spend	v. 花费
fail	v. 失败；不及格
hug	v./n. 拥抱
downtown	n. 市中心 adv. 往市中心
surface	n. 表面
chilli	n. 辣椒
black	adj. 黑色的 n. 黑色
night	n. 夜晚
weird	adj. 怪异的
event	n. 事件；活动
establish	v. 建立
addict	n. 上瘾者 v. 使沉溺
expose	v. 暴露；揭露
playground	n. 操场
bride/bridegroom	n. 新娘/新郎
lab/laboratory	n. 实验室
phenomenon	n. 现象
opportunity	n. 机会
outdoor	adj. 户外的
college	n. 学院；大学
mist	n. 薄雾
love	v./n. 爱
want	v. 想要
lay	v. 放置；下蛋
distinct	adj. 独特的；明显的
further	adj./adv. 更远的；进一步
county	n. 县
praise	v./n. 赞扬
butterfly	n. 蝴蝶
near	prep. 靠近 adj. 近的
noise	n. 噪音
disease	n. 疾病
vision	n. 视力；愿景
half	n. 一半
soft	adj. 柔软的
tradition	n. 传统
some	adj. 一些 pron. 若干
input	n. 输入
march	v. 行军 n. 三月
adopt	v. 收养；采用；采纳
gay	adj. 快乐的；同性恋的
booklet	n. 小册子
wonder	v. 想知道 n. 奇迹
vacation	n. 假期
car	n. 汽车
contain	v. 包含
buffet	n. 自助餐
euro	n. 欧元
anxious	adj. 焦虑的；渴望的
affect	v. 影响；感动
effort	n. 努力
soup	n. 汤
personnel	n. 人员
whisper	v./n. 耳语；低语
foot	n. 脚
so	adv. 如此 conj. 所以
pillow	n. 枕头
beer	n. 啤酒
comic	n. 连环画 adj. 滑稽的
scene	n. 场景；景色
several	adj. 几个
strange	adj. 奇怪的；陌生的
independent	adj. 独立的
oh	int. 哦
brown	adj. 棕色的 n. 棕色
vary	v. 变化
finish	v. 完成
voice	n. 声音
turkey	n. 火鸡
message	n. 消息
get	v. 得到；到达
same	adj. 相同的
conservative	adj. 保守的
password	n. 密码
skill	n. 技能
due	adj. 到期的；预期的
honest	adj. 诚实的
camp	n. 营地 v. 露营
oneself	pron. 自己
lap	n. 大腿；一圈
another	adj. 另一个；再一个
dollar	n. 美元
blog	n. 博客
smoke	n. 烟 v. 吸烟
draw	v. 画；拖；拉
describe	v. 描述
programme	n. 节目；计划
commerce	n. 商业
tent	n. 帐篷
wish	v./n. 希望；祝愿
unfair	adj. 不公平的
fault	n. 错误；缺点
set	v. 设置 n. 一套
lock	v. 锁 n. 锁
fountain	n. 喷泉
positive	adj. 积极的
employ	v. 雇用；使用
string	n. 细绳
remind	v. 提醒
internship	n. 实习
